매장,제품군,금주매출(백만),전주매출(백만)
삼성스토어 신세계 강남,냉장고,150,140
삼성스토어 신세계 강남,모바일,170,158
삼성스토어 신세계 강남,세탁기,92,82
삼성스토어 신세계 강남,에어컨,100,90
삼성스토어 신세계 강남,TV,108,96
삼성스토어 신세계 강남,IT,76,72
삼성스토어 신세계 강남,청소기,59,54
삼성스토어 신세계 강남,건조기,84,85
삼성스토어 롯데 잠실,냉장고,133,143
삼성스토어 롯데 잠실,모바일,161,172
삼성스토어 롯데 잠실,세탁기,120,128
삼성스토어 롯데 잠실,에어컨,83,82
삼성스토어 롯데 잠실,TV,87,94
삼성스토어 롯데 잠실,IT,71,62
삼성스토어 롯데 잠실,청소기,54,51
삼성스토어 롯데 잠실,건조기,82,94
삼성스토어 현대 판교,냉장고,70,72
삼성스토어 현대 판교,모바일,180,178
삼성스토어 현대 판교,세탁기,86,96
삼성스토어 현대 판교,TV,107,99
삼성스토어 현대 판교,IT,55,55
삼성스토어 현대 판교,청소기,61,57
삼성스토어 현대 판교,건조기,76,69
삼성스토어 용인구성,냉장고,110,120
삼성스토어 용인구성,모바일,119,105
삼성스토어 용인구성,세탁기,88,88
삼성스토어 용인구성,에어컨,70,82
삼성스토어 용인구성,TV,94,90
삼성스토어 용인구성,IT,56,52
삼성스토어 용인구성,청소기,57,61
삼성스토어 용인구성,건조기,66,72
삼성스토어 스타필드 수원,냉장고,140,128
삼성스토어 스타필드 수원,모바일,91,82
삼성스토어 스타필드 수원,세탁기,120,108
삼성스토어 스타필드 수원,TV,98,91
삼성스토어 스타필드 수원,IT,67,62
삼성스토어 스타필드 수원,청소기,59,56
삼성스토어 스타필드 수원,건조기,82,80
삼성스토어 롯데 동래,모바일,156,162
삼성스토어 롯데 동래,세탁기,109,95
삼성스토어 롯데 동래,에어컨,83,74
삼성스토어 롯데 동래,TV,99,101
삼성스토어 롯데 동래,청소기,63,67
삼성스토어 롯데 동래,건조기,86,83
삼성스토어 강서,냉장고,111,102
삼성스토어 강서,모바일,129,137
삼성스토어 강서,세탁기,86,83
삼성스토어 강서,에어컨,86,94
삼성스토어 강서,IT,63,61
삼성스토어 강서,건조기,73,79
삼성스토어 롯데 인천,냉장고,102,108
삼성스토어 롯데 인천,모바일,111,102
삼성스토어 롯데 인천,세탁기,78,80
삼성스토어 롯데 인천,TV,93,84
삼성스토어 롯데 인천,청소기,45,43
삼성스토어 롯데 인천,건조기,61,59
삼성스토어 스타필드 고양,냉장고,88,102
삼성스토어 스타필드 고양,모바일,113,125
삼성스토어 스타필드 고양,세탁기,50,50
삼성스토어 스타필드 고양,에어컨,60,78
삼성스토어 스타필드 고양,IT,49,47
삼성스토어 스타필드 고양,청소기,50,48
삼성스토어 스타필드 고양,건조기,62,66
삼성스토어 대전,냉장고,115,112
삼성스토어 대전,세탁기,92,96
삼성스토어 대전,에어컨,64,63
삼성스토어 대전,TV,68,77
삼성스토어 대전,IT,53,52
삼성스토어 대전,청소기,45,41
